# PyFAI 1D azimuthal integration
# Input file: E:/duizhao/ZSZ-Bkg-0.3s-003/ZSZ-Bkg-0.3s-003_saxs/series_1455_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Sat Apr 25 12:18:53 2026
# Radial	Intensity	Sigma
2.846662e-03	6.099454e-02	2.135820e-01
7.317916e-03	1.528901e-01	1.325656e-01
1.178917e-02	1.798479e-01	1.059553e-01
1.626042e-02	1.855026e-01	9.040122e-02
2.073168e-02	2.111804e-01	7.965598e-02
2.520293e-02	1.815098e-01	7.188502e-02
2.967419e-02	2.563283e-01	6.716459e-02
3.414544e-02	2.608378e-01	6.245348e-02
3.861670e-02	2.531520e-01	5.880605e-02
4.308795e-02	2.406799e-01	5.598844e-02
4.755920e-02	1.917109e-01	5.220064e-02
5.203046e-02	2.247359e-01	5.041799e-02
5.650171e-02	2.264596e-01	4.855418e-02
6.097297e-02	2.075299e-01	4.663747e-02
6.544422e-02	1.697604e-01	4.470415e-02
6.991547e-02	2.337621e-01	4.348278e-02
7.438673e-02	1.085885e+01	1.353924e-01
7.885798e-02	4.176898e+01	2.616840e-01
8.332924e-02	5.476436e+01	2.891067e-01
8.780049e-02	6.308009e+01	3.007955e-01
9.227175e-02	7.011584e+01	3.082569e-01
9.674300e-02	7.705539e+01	3.177155e-01
1.012143e-01	6.921958e+01	2.945074e-01
1.056855e-01	6.110914e+01	2.707243e-01
1.101568e-01	5.568770e+01	2.529963e-01
1.146280e-01	5.040115e+01	2.357138e-01
1.190993e-01	4.539882e+01	2.195071e-01
1.235705e-01	4.239303e+01	2.084188e-01
1.280418e-01	3.916145e+01	1.967486e-01
1.325130e-01	3.603868e+01	1.853910e-01
1.369843e-01	3.416031e+01	1.777418e-01
1.414555e-01	3.199572e+01	1.694393e-01
1.459268e-01	3.001824e+01	1.614491e-01
1.503981e-01	2.852039e+01	1.549226e-01
1.548693e-01	2.701982e+01	1.485714e-01
1.593406e-01	2.546485e+01	1.422618e-01
1.638118e-01	2.443995e+01	1.376710e-01
1.682831e-01	2.333371e+01	1.325869e-01
1.727543e-01	2.247879e+01	1.283286e-01
1.772256e-01	2.153944e+01	1.239584e-01
1.816968e-01	2.082670e+01	1.205070e-01
1.861681e-01	2.013108e+01	1.172183e-01
1.906393e-01	1.932703e+01	1.151039e-01
1.951106e-01	1.912795e+01	1.158547e-01
1.995818e-01	1.851249e+01	1.141406e-01
2.040531e-01	1.805459e+01	1.128902e-01
2.085244e-01	1.771705e+01	1.117113e-01
2.129956e-01	1.721867e+01	1.098068e-01
2.174669e-01	1.687731e+01	1.083743e-01
2.219381e-01	1.648927e+01	1.067483e-01
2.264094e-01	1.611954e+01	1.052331e-01
2.308806e-01	1.596447e+01	1.043695e-01
2.353519e-01	1.559791e+01	1.026266e-01
2.398231e-01	1.514284e+01	1.006470e-01
2.442944e-01	1.505932e+01	9.990922e-02
2.487656e-01	1.503494e+01	9.936793e-02
2.532369e-01	1.462057e+01	9.738188e-02
2.577082e-01	1.441913e+01	9.626334e-02
2.621794e-01	1.445891e+01	9.608468e-02
2.666507e-01	1.416886e+01	9.378772e-02
2.711219e-01	1.391245e+01	9.006105e-02
2.755932e-01	1.389400e+01	8.813582e-02
2.800644e-01	1.383015e+01	8.645806e-02
2.845357e-01	1.377126e+01	8.516385e-02
2.890069e-01	1.332743e+01	8.273359e-02
2.934782e-01	1.336314e+01	8.192741e-02
2.979494e-01	1.329259e+01	8.076876e-02
3.024207e-01	1.304099e+01	7.912479e-02
3.068919e-01	1.293262e+01	7.799818e-02
3.113632e-01	1.281821e+01	7.690955e-02
3.158345e-01	1.278773e+01	7.613904e-02
3.203057e-01	1.277158e+01	7.540748e-02
3.247770e-01	1.267906e+01	7.445029e-02
3.292482e-01	1.261308e+01	7.364711e-02
3.337195e-01	1.233795e+01	7.216248e-02
3.381907e-01	1.245794e+01	7.205501e-02
3.426620e-01	1.222919e+01	7.076246e-02
3.471332e-01	1.220251e+01	7.002139e-02
3.516045e-01	1.232626e+01	6.994633e-02
3.560757e-01	1.209947e+01	6.882596e-02
3.605470e-01	1.207097e+01	6.826930e-02
3.650183e-01	1.191276e+01	6.725986e-02
3.694895e-01	1.196413e+01	6.698281e-02
3.739608e-01	1.178369e+01	6.598826e-02
3.784320e-01	1.179149e+01	6.552909e-02
3.829033e-01	1.171987e+01	6.488631e-02
3.873745e-01	1.174068e+01	6.459057e-02
3.918458e-01	1.165719e+01	6.391323e-02
3.963170e-01	1.161647e+01	6.340563e-02
4.007883e-01	1.143900e+01	6.255230e-02
4.052595e-01	1.141229e+01	6.209574e-02
4.097308e-01	1.154787e+01	6.207765e-02
4.142020e-01	1.133558e+01	6.104710e-02
4.186733e-01	1.122880e+01	6.042902e-02
4.231446e-01	1.132414e+01	6.039718e-02
4.276158e-01	1.126137e+01	5.981245e-02
4.320871e-01	1.137538e+01	5.978958e-02
4.365583e-01	1.125789e+01	5.905761e-02
