# PyFAI 1D azimuthal integration
# Input file: E:/Sample2/CK2-0.3s-insuit-006-300-to-700/CK2-0.3s-insuit-006-300-to-700_saxs/series_1410_data_000001.h5
# Dataset: /entry/data/data
# Timestamp: Thu Apr 23 16:31:26 2026
# Radial	Intensity	Sigma
2.846662e-03	2.538046e+02	3.363278e+00
7.317916e-03	2.552626e+02	2.089543e+00
1.178917e-02	2.622350e+02	1.678112e+00
1.626042e-02	2.693385e+02	1.451572e+00
2.073168e-02	2.753445e+02	1.298598e+00
2.520293e-02	2.819234e+02	1.188516e+00
2.967419e-02	2.857009e+02	1.101546e+00
3.414544e-02	2.927403e+02	1.042488e+00
3.861670e-02	2.982419e+02	9.901491e-01
4.308795e-02	3.025837e+02	9.427558e-01
4.755920e-02	3.062764e+02	9.008679e-01
5.203046e-02	3.101335e+02	8.673566e-01
5.650171e-02	3.133108e+02	8.379468e-01
6.097297e-02	3.232378e+02	8.195698e-01
6.544422e-02	3.526235e+02	8.240831e-01
6.991547e-02	4.574612e+02	9.046655e-01
7.438673e-02	5.515366e+04	9.401847e+00
7.885798e-02	2.044192e+05	1.819270e+01
8.332924e-02	2.709820e+05	2.024911e+01
8.780049e-02	3.175774e+05	2.131231e+01
9.227175e-02	3.478320e+05	2.170370e+01
9.674300e-02	3.753404e+05	2.218834e+01
1.012143e-01	3.284605e+05	2.028362e+01
1.056855e-01	2.858567e+05	1.851703e+01
1.101568e-01	2.502183e+05	1.694748e+01
1.146280e-01	2.194845e+05	1.555105e+01
1.190993e-01	1.937016e+05	1.434843e+01
1.235705e-01	1.721286e+05	1.328376e+01
1.280418e-01	1.531093e+05	1.230030e+01
1.325130e-01	1.365809e+05	1.141070e+01
1.369843e-01	1.223171e+05	1.062636e+01
1.414555e-01	1.102536e+05	9.942408e+00
1.459268e-01	9.916174e+04	9.279642e+00
1.503981e-01	8.962450e+04	8.680912e+00
1.548693e-01	8.131245e+04	8.141432e+00
1.593406e-01	7.377906e+04	7.651466e+00
1.638118e-01	6.708982e+04	7.204661e+00
1.682831e-01	6.119344e+04	6.786201e+00
1.727543e-01	5.591734e+04	6.396128e+00
1.772256e-01	5.115969e+04	6.038651e+00
1.816968e-01	4.695777e+04	5.719257e+00
1.861681e-01	4.308810e+04	5.414411e+00
1.906393e-01	3.973298e+04	5.209797e+00
1.951106e-01	3.679084e+04	5.076191e+00
1.995818e-01	3.404364e+04	4.894743e+00
2.040531e-01	3.146163e+04	4.706969e+00
2.085244e-01	2.921310e+04	4.531024e+00
2.129956e-01	2.708849e+04	4.352682e+00
2.174669e-01	2.517139e+04	4.181383e+00
2.219381e-01	2.334588e+04	4.011781e+00
2.264094e-01	2.173279e+04	3.859059e+00
2.308806e-01	2.024383e+04	3.709740e+00
2.353519e-01	1.890585e+04	3.568686e+00
2.398231e-01	1.768155e+04	3.434884e+00
2.442944e-01	1.651480e+04	3.303582e+00
2.487656e-01	1.547203e+04	3.184339e+00
2.532369e-01	1.447405e+04	3.066127e+00
2.577082e-01	1.358763e+04	2.956492e+00
2.621794e-01	1.274820e+04	2.849972e+00
2.666507e-01	1.196221e+04	2.722304e+00
2.711219e-01	1.117294e+04	2.548303e+00
2.755932e-01	1.048467e+04	2.419088e+00
2.800644e-01	9.851729e+03	2.306326e+00
2.845357e-01	9.277952e+03	2.207581e+00
2.890069e-01	8.751514e+03	2.119097e+00
2.934782e-01	8.253883e+03	2.034114e+00
2.979494e-01	7.795881e+03	1.954658e+00
3.024207e-01	7.358639e+03	1.878132e+00
3.068919e-01	6.961665e+03	1.808354e+00
3.113632e-01	6.593874e+03	1.744072e+00
3.158345e-01	6.251109e+03	1.682278e+00
3.203057e-01	5.921951e+03	1.621767e+00
3.247770e-01	5.613302e+03	1.564963e+00
3.292482e-01	5.323415e+03	1.511830e+00
3.337195e-01	5.049211e+03	1.460860e+00
3.381907e-01	4.803449e+03	1.413179e+00
3.426620e-01	4.569935e+03	1.366750e+00
3.471332e-01	4.348575e+03	1.322679e+00
3.516045e-01	4.138532e+03	1.281051e+00
3.560757e-01	3.937333e+03	1.240651e+00
3.605470e-01	3.750837e+03	1.202042e+00
3.650183e-01	3.576726e+03	1.165096e+00
3.694895e-01	3.411833e+03	1.129594e+00
3.739608e-01	3.258042e+03	1.096520e+00
3.784320e-01	3.109607e+03	1.064294e+00
3.829033e-01	2.970091e+03	1.033008e+00
3.873745e-01	2.841735e+03	1.003658e+00
3.918458e-01	2.714568e+03	9.742869e-01
3.963170e-01	2.598819e+03	9.475876e-01
4.007883e-01	2.488266e+03	9.217536e-01
4.052595e-01	2.382725e+03	8.961887e-01
4.097308e-01	2.281416e+03	8.712586e-01
4.142020e-01	2.184808e+03	8.472504e-01
4.186733e-01	2.094283e+03	8.249894e-01
4.231446e-01	2.010578e+03	8.040740e-01
4.276158e-01	1.929401e+03	7.829906e-01
4.320871e-01	1.850848e+03	7.619472e-01
4.365583e-01	1.776090e+03	7.418672e-01
4.410296e-01	1.707502e+03	7.238014e-01
4.455008e-01	1.641946e+03	7.062573e-01
4.499721e-01	1.580848e+03	6.891998e-01
4.544433e-01	1.519300e+03	6.714849e-01
4.589146e-01	1.463423e+03	6.556727e-01
4.633858e-01	1.408353e+03	6.400823e-01
4.678571e-01	1.355179e+03	6.247411e-01
4.723284e-01	1.305172e+03	6.096745e-01
4.767996e-01	1.257890e+03	5.949935e-01
4.812709e-01	1.214333e+03	5.819016e-01
4.857421e-01	1.171112e+03	5.691972e-01
4.902134e-01	1.128810e+03	5.562159e-01
4.946846e-01	1.088517e+03	5.431229e-01
4.991559e-01	1.050537e+03	5.304481e-01
5.036271e-01	1.014241e+03	5.189950e-01
5.080984e-01	9.793809e+02	5.081058e-01
5.125696e-01	9.470508e+02	4.972869e-01
5.170409e-01	9.150555e+02	4.860784e-01
5.215121e-01	8.839724e+02	4.752718e-01
5.259834e-01	8.551560e+02	4.657453e-01
5.304547e-01	8.264438e+02	4.562817e-01
5.349259e-01	7.998306e+02	4.467063e-01
5.393972e-01	7.741673e+02	4.369087e-01
5.438684e-01	7.502707e+02	4.281428e-01
5.483397e-01	7.263592e+02	4.199656e-01
5.528109e-01	7.039501e+02	4.120163e-01
5.572822e-01	6.813021e+02	4.032326e-01
5.617534e-01	6.604060e+02	3.947785e-01
5.662247e-01	6.400468e+02	3.871573e-01
5.706959e-01	6.217576e+02	3.806420e-01
5.751672e-01	6.024490e+02	3.732493e-01
5.796385e-01	5.840289e+02	3.654858e-01
5.841097e-01	5.670010e+02	3.582643e-01
5.885810e-01	5.499643e+02	3.516700e-01
5.930522e-01	5.342723e+02	3.458334e-01
5.975235e-01	5.187287e+02	3.394009e-01
6.019947e-01	5.043390e+02	3.328099e-01
6.064660e-01	4.894714e+02	3.263375e-01
6.109372e-01	4.748855e+02	3.205850e-01
6.154085e-01	4.616503e+02	3.153604e-01
6.198797e-01	4.493982e+02	3.097289e-01
6.243510e-01	4.376791e+02	3.040048e-01
6.288222e-01	4.253076e+02	2.984446e-01
6.332935e-01	4.136947e+02	2.937939e-01
6.377648e-01	4.024210e+02	2.890253e-01
6.422360e-01	3.911165e+02	2.835015e-01
6.467073e-01	3.812922e+02	2.785151e-01
6.511785e-01	3.715881e+02	2.740123e-01
6.556498e-01	3.614391e+02	2.697702e-01
6.601210e-01	3.523605e+02	2.655743e-01
6.645923e-01	3.432703e+02	2.607764e-01
6.690635e-01	3.335431e+02	2.558383e-01
6.735348e-01	3.251188e+02	2.519493e-01
6.780060e-01	3.172288e+02	2.484732e-01
6.824773e-01	3.092696e+02	2.444043e-01
6.869486e-01	3.016790e+02	2.400966e-01
6.914198e-01	2.938203e+02	2.359553e-01
6.958911e-01	2.875208e+02	2.330422e-01
7.003623e-01	2.804399e+02	2.297301e-01
7.048336e-01	2.732155e+02	2.257683e-01
7.093048e-01	2.667960e+02	2.219926e-01
7.137761e-01	2.602709e+02	2.184908e-01
7.182473e-01	2.542626e+02	2.156748e-01
7.227186e-01	2.481715e+02	2.125771e-01
7.271898e-01	2.424432e+02	2.091393e-01
7.316611e-01	2.367269e+02	2.057610e-01
7.361324e-01	2.312807e+02	2.028273e-01
7.406036e-01	2.260447e+02	2.001812e-01
7.450749e-01	2.205277e+02	1.971153e-01
7.495461e-01	2.156294e+02	1.940611e-01
7.540174e-01	2.106887e+02	1.910759e-01
7.584886e-01	2.059171e+02	1.885103e-01
7.629599e-01	2.012584e+02	1.860710e-01
7.674311e-01	1.968888e+02	1.833884e-01
7.719024e-01	1.928486e+02	1.807229e-01
7.763736e-01	1.880060e+02	1.777919e-01
7.808449e-01	1.843991e+02	1.757866e-01
7.853161e-01	1.800257e+02	1.733356e-01
7.897874e-01	1.765338e+02	1.710269e-01
7.942587e-01	1.728387e+02	1.685198e-01
7.987299e-01	1.689924e+02	1.661895e-01
8.032012e-01	1.654933e+02	1.641907e-01
8.076724e-01	1.619558e+02	1.620009e-01
8.121437e-01	1.587025e+02	1.597532e-01
8.166149e-01	1.553110e+02	1.574573e-01
8.210862e-01	1.520757e+02	1.554493e-01
8.255574e-01	1.490127e+02	1.535745e-01
8.300287e-01	1.460543e+02	1.516346e-01
8.344999e-01	1.429729e+02	1.495203e-01
8.389712e-01	1.399550e+02	1.474756e-01
8.434425e-01	1.372343e+02	1.457366e-01
8.479137e-01	1.343620e+02	1.454342e-01
8.523850e-01	1.314938e+02	1.448692e-01
8.568562e-01	1.286976e+02	1.437856e-01
8.613275e-01	1.261023e+02	1.426552e-01
8.657987e-01	1.239849e+02	1.417295e-01
8.702700e-01	1.214545e+02	1.404767e-01
8.747412e-01	1.188635e+02	1.391449e-01
8.792125e-01	1.167720e+02	1.380277e-01
8.836837e-01	1.144812e+02	1.366510e-01
8.881550e-01	1.123870e+02	1.354070e-01
8.926262e-01	1.100099e+02	1.340082e-01
8.970975e-01	1.081299e+02	1.329545e-01
9.015688e-01	1.057592e+02	1.314617e-01
9.060400e-01	1.037639e+02	1.301600e-01
9.105113e-01	1.019043e+02	1.289508e-01
9.149825e-01	9.991737e+01	1.277217e-01
9.194538e-01	9.781151e+01	1.263513e-01
9.239250e-01	9.661157e+01	1.243307e-01
9.283963e-01	9.447758e+01	1.213606e-01
9.328675e-01	9.303857e+01	1.196128e-01
9.373388e-01	9.139426e+01	1.178771e-01
9.418100e-01	8.972646e+01	1.162011e-01
9.462813e-01	8.806123e+01	1.151963e-01
9.507526e-01	8.662937e+01	1.152091e-01
9.552238e-01	8.505551e+01	1.145489e-01
9.596951e-01	8.384921e+01	1.139407e-01
9.641663e-01	8.255578e+01	1.131336e-01
9.686376e-01	8.135275e+01	1.122314e-01
9.731088e-01	8.011125e+01	1.111723e-01
9.775801e-01	7.876421e+01	1.100461e-01
9.820513e-01	7.725894e+01	1.088033e-01
9.865226e-01	7.614872e+01	1.079293e-01
9.909938e-01	7.480880e+01	1.069480e-01
9.954651e-01	7.347610e+01	1.059352e-01
9.999363e-01	7.251804e+01	1.052208e-01
1.004408e+00	7.119313e+01	1.041738e-01
1.008879e+00	7.010959e+01	1.033406e-01
1.013350e+00	6.881592e+01	1.022868e-01
1.017821e+00	6.757842e+01	1.012743e-01
1.022293e+00	6.667204e+01	1.005543e-01
1.026764e+00	6.540353e+01	9.952188e-02
1.031235e+00	6.454547e+01	9.883083e-02
1.035706e+00	6.367060e+01	9.805435e-02
1.040178e+00	6.254290e+01	9.706932e-02
1.044649e+00	6.152869e+01	9.622519e-02
1.049120e+00	6.042326e+01	9.530542e-02
1.053591e+00	5.942048e+01	9.445917e-02
1.058063e+00	5.845814e+01	9.356032e-02
1.062534e+00	5.749356e+01	9.268276e-02
1.067005e+00	5.647757e+01	9.180407e-02
1.071476e+00	5.573795e+01	9.119061e-02
1.075948e+00	5.471345e+01	9.024356e-02
1.080419e+00	5.384097e+01	8.939786e-02
1.084890e+00	5.306096e+01	8.868155e-02
1.089361e+00	5.219250e+01	8.787866e-02
1.093833e+00	5.148880e+01	8.724914e-02
1.098304e+00	5.056565e+01	8.633426e-02
1.102775e+00	4.988860e+01	8.563507e-02
1.107246e+00	4.918419e+01	8.496388e-02
1.111718e+00	4.845076e+01	8.431117e-02
1.116189e+00	4.758745e+01	8.349195e-02
1.120660e+00	4.717405e+01	8.301288e-02
1.125131e+00	4.643003e+01	8.220730e-02
1.129603e+00	4.556958e+01	8.140557e-02
1.134074e+00	4.491128e+01	8.182374e-02
1.138545e+00	4.415563e+01	8.192338e-02
1.143016e+00	4.369322e+01	8.195511e-02
1.147488e+00	4.300745e+01	8.154900e-02
1.151959e+00	4.246675e+01	8.117465e-02
1.156430e+00	4.188689e+01	8.024723e-02
1.160901e+00	4.131963e+01	7.871599e-02
1.165373e+00	4.058094e+01	7.749098e-02
1.169844e+00	3.994917e+01	7.661714e-02
1.174315e+00	3.953973e+01	7.622276e-02
1.178787e+00	3.904099e+01	7.575323e-02
1.183258e+00	3.855075e+01	7.525168e-02
1.187729e+00	3.808123e+01	7.464345e-02
1.192200e+00	3.740502e+01	7.381733e-02
1.196672e+00	3.699570e+01	7.338056e-02
1.201143e+00	3.632203e+01	7.259500e-02
1.205614e+00	3.583783e+01	7.195660e-02
1.210085e+00	3.524338e+01	7.117058e-02
1.214557e+00	3.484368e+01	7.069289e-02
1.219028e+00	3.447922e+01	7.028766e-02
1.223499e+00	3.395782e+01	6.965601e-02
1.227970e+00	3.348963e+01	6.905592e-02
1.232442e+00	3.306201e+01	6.848281e-02
1.236913e+00	3.261788e+01	6.796440e-02
1.241384e+00	3.215526e+01	6.741595e-02
1.245855e+00	3.179960e+01	6.693549e-02
1.250327e+00	3.138184e+01	6.637168e-02
1.254798e+00	3.104588e+01	6.593297e-02
1.259269e+00	3.069397e+01	6.553137e-02
1.263740e+00	3.015362e+01	6.486700e-02
1.268212e+00	2.988399e+01	6.442589e-02
1.272683e+00	2.957284e+01	6.392196e-02
1.277154e+00	2.913652e+01	6.332821e-02
1.281625e+00	2.875366e+01	6.282233e-02
1.286097e+00	2.832725e+01	6.224516e-02
1.290568e+00	2.793407e+01	6.166961e-02
1.295039e+00	2.773884e+01	6.133158e-02
1.299510e+00	2.730099e+01	6.073477e-02
1.303982e+00	2.699185e+01	6.049340e-02
1.308453e+00	2.667032e+01	6.081529e-02
1.312924e+00	2.638560e+01	6.082940e-02
1.317395e+00	2.611985e+01	6.082824e-02
1.321867e+00	2.560572e+01	6.050913e-02
1.326338e+00	2.526839e+01	6.035224e-02
1.330809e+00	2.500265e+01	6.021944e-02
1.335280e+00	2.474861e+01	6.006090e-02
1.339752e+00	2.440241e+01	5.979315e-02
1.344223e+00	2.426109e+01	5.984261e-02
1.348694e+00	2.385397e+01	5.943279e-02
1.353165e+00	2.367765e+01	5.931551e-02
1.357637e+00	2.318020e+01	5.876549e-02
1.362108e+00	2.309324e+01	5.883106e-02
1.366579e+00	2.277468e+01	5.851126e-02
1.371050e+00	2.256990e+01	5.835725e-02
1.375522e+00	2.226582e+01	5.801093e-02
1.379993e+00	2.203493e+01	5.783113e-02
1.384464e+00	2.177030e+01	5.759897e-02
1.388935e+00	2.145976e+01	5.725369e-02
1.393407e+00	2.128105e+01	5.709849e-02
1.397878e+00	2.103824e+01	5.679198e-02
1.402349e+00	2.079165e+01	5.652693e-02
1.406820e+00	2.055369e+01	5.627573e-02
1.411292e+00	2.039982e+01	5.616289e-02
1.415763e+00	2.017280e+01	5.592099e-02
1.420234e+00	1.984235e+01	5.544945e-02
1.424705e+00	1.972463e+01	5.532365e-02
1.429177e+00	1.946126e+01	5.494312e-02
1.433648e+00	1.932727e+01	5.477986e-02
1.438119e+00	1.902101e+01	5.435053e-02
1.442591e+00	1.884814e+01	5.416972e-02
1.447062e+00	1.874845e+01	5.410443e-02
1.451533e+00	1.847105e+01	5.369833e-02
1.456004e+00	1.830484e+01	5.349779e-02
1.460476e+00	1.809247e+01	5.327157e-02
1.464947e+00	1.785299e+01	5.297364e-02
